"তারিখ","লক্ষ্যমাত্রা","অর্জন","পরিবর্তনের হার"
"আগস্ট-২০২৪","৫,৪৪৪ জন","৫,৩৯৭ জন",""
"জুলাই-২০২৪","৫,৪৩৪ জন","৫,৩৯৭ জন",""
"জুন-২০২৪","৫,৪০৪ জন","৫,৩৯৪ জন",""
"মে-২০২৪","৫,৩৯৪ জন","৫,৩৮৪ জন",""
"এপ্রিল-২০২৪","৫,৩৮৪ জন","৫,৩৮৪ জন",""
"মার্চ-২০২৪","৫,৩৭৪ জন","৫,৩৭৪ জন",""
"ফেব্রুয়ারি-২০২৪","৫,৩৬৪ জন","৫,৩৬৪ জন",""
"জানুয়ারি-২০২৪","৫,৩৫৪ জন","৫,৩৫৪ জন",""
"ডিসেম্বর-২০২৩","৫,৪৮২ জন","৫,৩৪৪ জন",""
"নভেম্বর-২০২৩","৫,৪৬৪ জন","৫,৩৪৪ জন",""
"অক্টোবর-২০২৩","৫,৪৪৬ জন","৫,৩৪৪ জন",""
"সেপ্টেম্বর-২০২৩","৫,৪২৯ জন","৫,২৯৭ জন",""
