License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0013525,"Nure Modina Hajj & Travels","Md. Shahidul Islam","License expired","29-May-2022",,"28-May-2025","Rajshahi","BOGRA","ADAMDIGHI"
0013576,"Santu Air International","Md. Safikul Islam (Santu)","License expired","20-Jun-2022",,"19-Jun-2025","Rajshahi","BOGRA","SHIBGANJ"
0013268,"Mastura Travels","Hasan","License expired","02-Jan-2022",,"01-Jan-2025","Chittagong","BRAHMANBARIA","NABINAGAR"
0013281,"Ghuraghuri Air Travel","Md. Abdul Kader","License expired","09-Jan-2022",,"08-Jan-2025","Chittagong","CHANDPUR","KACHUA"
0013595,"Bab E  Madina Hajj Travels","Omar Faruk","License expired","29-Jun-2022",,"28-Jun-2025","Chittagong","CHANDPUR","KACHUA"
0001370,"The Ezee Go (Travel Agent)","Ikram Hossain","License expired","03-Sep-2016","09-Mar-2019","08-Mar-2022","Chittagong","CHITTAGONG","ANOWARA"
0009244,"The Chattala Hajj Kafela & Travels","MD. Faridul Islam","License expired","22-Nov-2016","22-Nov-2019","21-Nov-2022","Chittagong","CHITTAGONG","ANOWARA"
0007175,"N Two S Travels Ltd","Shahariar Tipu Sultan","License expired","31-Jan-2018","31-Jan-2018","30-Jan-2021","Chittagong","CHITTAGONG","BAYEJID BOSTAMI"
0009226,"Syed Awlia Air Travels","Jahida Akhter","License expired","20-Oct-2016","20-Oct-2022","19-Oct-2025","Chittagong","CHITTAGONG","BAKALIA"
0001311,"Rafiq Tours & Hajj Group","Monirul Islam Rofiq","License expired","15-Jun-2018","15-Jun-2018","14-Jun-2021","Chittagong","CHITTAGONG","CHANDGAON"
0001905,"Tulip Travels","Mohammed Ashique Yousuf Chowdhury","License expired","19-Apr-2018","19-Apr-2018","18-Apr-2021","Chittagong","CHITTAGONG","CHANDGAON"
0001906,"NEPTUNE TRAVEL INTERNATIONAL","Mamunur Rashid","License expired","19-Apr-2018","19-Apr-2021","18-Apr-2024","Chittagong","CHITTAGONG","CHANDGAON"
0013667,"ALIF MEEM INTERNATIONAL","MUINUL ISLAM CHOWDHURY MOHIM","License expired","11-Aug-2022",,"10-Aug-2025","Chittagong","CHITTAGONG","CHANDGAON"
0013807,"AL HIDAAYAH HAJJ KAFELA TOURS AND TRAVELS","MOHAMMED ABSAR UDDIN ROBEL","License expired","16-Oct-2022",,"15-Oct-2025","Chittagong","CHITTAGONG","CHANDGAON"
0006529,"Easy Travels Twenty Four","MD JABED HOSSAIN","License expired","01-Aug-2017","31-Jul-2020","01-Aug-2023","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0004910,"Al-Haji Travels & Tours Limited","S M Jahangir Alam","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0004945,"Brown Air BD","Nuruddin Md.Ismail","License expired","04-Nov-2015","04-Nov-2018","03-Nov-2021","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0013319,"Shah Abrar Hajj Kafela & Travels","Md. Ziaul Hoque","License expired","26-Jan-2022",,"25-Jan-2025","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0006253,"Wings Classic Tours & Travels Limited","Mahbub-Ul-Anam Chowdhury","License expired","08-Dec-2014","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0001371,"The Amar Ticket (Travel Agent)","M. A. Kaiyum","License expired","09-Mar-2016","09-Mar-2019","08-Mar-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0006210,"Wings Tours & Travels Ltd","Mizanur Rahman","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0001301,"Smart Tours & Travels","Md. Ruhul Huda Maruf","License expired","21-May-2018","21-May-2018","20-May-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0005194,"Expo Tours & Travel","Md. Ibrahim Khalil ","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0004907,"Al Nababi Hajj Kafela Travels & Tours","S. M. Syedul Karim Shahid","License expired","02-Jun-2015","02-Jun-2018","01-Jun-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0004724,"Khaja Ajmiri Travels","Sheikh Younusur Rahman","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0001903,"Time Tours & Travels","A K M Shamsuzzaman","License expired","19-Apr-2018","19-Apr-2018","18-Apr-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0007180,"Travel Eye","Mohammad Khalil Ullah","License expired","08-Feb-2018","08-Feb-2018","07-Feb-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0006565,"M.M. Travels And  Tours","Mohammad Abu Sahid","License expired","29-Mar-2018","29-Mar-2018","28-Mar-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013634,"Picnic.com","Partha Roy","License expired","21-Jul-2022",,"20-Jul-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013308,"VMAX TRAVELS","MOHAMMED JAHEDUL ALAM","License expired","20-Jan-2022",,"19-Jan-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013333,"MUNNA INTERNATIONAL TRAVELS","MOHAMMAD JAHED HOSSEN","License expired","02-Feb-2022",,"01-Feb-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013701,"OMAN TRAVELS","SAIFUL ISLAM","License expired","05-Sep-2022",,"04-Sep-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013781,"SHADIN BANGLA TRAVELS","SADDAM HOSSAIN","License expired","06-Oct-2022",,"05-Oct-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013809,"A AND R TRAVELS AND TOURS","MOHAMMED JAVED ALI","License expired","16-Oct-2022",,"15-Oct-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0006266,"Noor Medina Travels And Tours","Mohammad Jashim Uddin ","License expired","14-May-2018","14-May-2018","13-May-2021","Chittagong","CHITTAGONG","FATIKCHHARI"
0013502,"A K INTERNATIONAL TOURIST AND TRAVELS","MOHAMMED ABUL KALAM ","License expired","12-May-2022",,"11-May-2025","Chittagong","CHITTAGONG","FATIKCHHARI"
0001336,"S a Travels","Md. Azad Mia","License expired","20-Sep-2015","20-Sep-2018","19-Sep-2021","Chittagong","CHITTAGONG","HALISHAHAR"
0013773,"AYAR OVERSEAS","SYED IMAM HOSSAIN","License expired","02-Oct-2022",,"01-Oct-2025","Chittagong","CHITTAGONG","HALISHAHAR"
0004893,"Hathazari Travel & Tours","Mohammad Alauddin","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","HATHAZARI"
0001332,"Rex International","Mohammad Ali","License expired","04-Apr-2018","04-Apr-2018","05-Apr-2021","Chittagong","CHITTAGONG","KOTWALI"
